breakfast,lunch,snack,dinner,mark
apple,chicken,yogurt,rice,5
carrot,tuna,milk,sandwich,4
egg,pasta,banana,cheese,2
fish,salad,apple,chicken,5
cheese,banana,egg,tuna,3
rice,carrot,cereal,hamburger,1
milk,apple,egg,salad,2
hamburger,cheese,tuna,pasta,2
tuna,pasta,apple,hamburger,2
chicken,rice,cereal,milk,2
sandwich,yogurt,salad,banana,2
cereal,rice,chicken,milk,2
salad,milk,tuna,carrot,3
pasta,cereal,cheese,sandwich,1
banana,hamburger,apple,yogurt,2
yogurt,apple,tuna,banana,4
egg,sandwich,milk,rice,4
apple,pasta,egg,cheese,3
cheese,milk,rice,egg,2
carrot,yogurt,fish,cereal,4
fish,tuna,salad,egg,4
milk,rice,sandwich,pasta,3
rice,banana,hamburger,cheese,2
pasta,egg,cereal,sandwich,1
egg,pasta,cereal,banana,2
tuna,hamburger,rice,yogurt,3
pasta,salad,cheese,fish,4
hamburger,fish,milk,apple,5
milk,tuna,pasta,sandwich,4
banana,yogurt,cheese,fish,4
apple,egg,cereal,rice,3
cheese,chicken,banana,hamburger,2
fish,milk,sandwich,egg,3
hamburger,rice,salad,milk,3
tuna,pasta,apple,egg,2
egg,milk,banana,salad,2
sandwich,apple,cheese,tuna,2
banana,cereal,hamburger,yogurt,1
milk,fish,sandwich,egg,3
hamburger,rice,salad,banana,3
yogurt,tuna,egg,cheese,3
egg,pasta,banana,rice,3
pasta,milk,cereal,apple,2
cheese,rice,fish,hamburger,3
rice,cheese,apple,sandwich,4
